bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
BrummelTante,0,6,4,2,4344.014963,543.8668003,544.0938273,
BrummelTante,0,6,4,3,4248.080926,544.1813949,544.4332868,
BrummelTante,0,6,4,4,3857.631114,544.5349084,544.8862597,
BrummelTante,0,6,4,5,4131.094383,544.9792327,545.3240976,
PsychoWhistler,1,6,4,1,4969.891258,529.5767568,529.7691892,4967.550371
PsychoWhistler,1,6,4,2,4827.990431,529.9097297,530.1108108,4823.748309
PsychoWhistler,1,6,4,3,4715.030498,530.2437838,530.4427027,4715.125955
PsychoWhistler,1,6,4,4,4781.661489,530.5875676,530.8081081,4783.621221
PsychoWhistler,1,6,4,5,4684.209926,530.9508108,531.152973,4684.017497
PsychoWhistler,1,6,4,6,4683.919098,531.287027,531.5010811,4680.95339
PsychoWhistler,1,6,4,7,4630.775343,531.62,531.8394595,4633.71216
PsychoWhistler,1,6,4,8,4633.548387,531.9745946,532.2005405,4633.487205
PsychoWhistler,1,6,4,9,4577.080004,532.3421622,532.5864865,4575.758701
PsychoWhistler,1,6,4,10,4622.265188,532.7205405,532.9508108,4624.963072
PsychoWhistler,1,6,4,11,4591.464115,533.0794595,533.3259459,4604.314231
PsychoWhistler,1,6,4,12,4476.456146,533.4675676,533.7389189,4477.437954
PsychoWhistler,1,6,4,13,4477.641856,533.8859459,534.1291892,4480.704698
PsychoWhistler,1,6,4,14,4542.283195,534.2697297,534.6891892,4541.353587
PsychoWhistler,1,6,4,15,4254.302411,534.8189189,535.2924324,4253.299492
PsychoWhistler,1,6,4,16,4281.217178,535.4221622,535.9010811,4280.337105
PsychoWhistler,1,6,4,17,4297.78626,536.0167568,536.4783784,4297.789567
PsychoWhistler,1,6,4,18,4356.806433,536.5908108,536.9972973,4356.618508
PsychoWhistler,1,6,4,19,4338.103106,537.1291892,537.5497297,4356.26011
PsychoWhistler,1,6,4,20,4283.804727,537.6816216,538.0945946,4283.363532
PsychoWhistler,1,6,4,21,4276.015001,538.2297297,538.6383784,4277.372101
PsychoWhistler,1,6,4,22,4260.15656,538.8059459,539.2102703,4258.886209
BrummelTante,0,7,5,1,2676.718345,629.7911246,630.3057192,
BrummelTante,0,7,5,2,2717.57433,630.4905841,630.9684219,
PsychoWhistler,1,7,5,1,5925.282648,625.7767568,626.18,5926.619433
PsychoWhistler,1,7,5,2,5910.263397,626.4935135,626.9302703,5909.45953
PsychoWhistler,1,7,5,3,5904.162817,627.2578376,627.6751351,5904.60251
PsychoWhistler,1,7,5,4,5991.525424,627.9216216,628.1583784,5972.358969
PsychoWhistler,1,7,5,5,6757.863384,628.3205405,628.687027,6758.380251
PsychoWhistler,1,7,5,6,6879.173787,628.8859459,629.2221622,6879.100351
PsychoWhistler,1,7,5,7,6986.695769,629.4037838,629.7151351,6988.682543
BrummelTante,0,8,6,1,2318.047644,,,
BrummelTante,0,8,6,2,2318.833652,,,
BrummelTante,0,8,6,3,2357.878722,,,
BrummelTante,0,8,6,4,2416.947723,,,
PsychoWhistler,1,8,6,1,1758.861752,652.1259459,652.2254054,1759.174835
PsychoWhistler,1,8,6,2,1363.784259,652.4243243,652.5713514,1360.271437
PsychoWhistler,1,8,6,3,1407.747834,652.752973,652.8956757,1401.334604
PsychoWhistler,1,8,6,4,1436.842105,653.0643243,653.2059459,1433.285303
PsychoWhistler,1,8,6,5,1475.969752,653.34,653.487027,1475.89451
PsychoWhistler,1,8,6,6,1501.921575,653.6135135,653.7627027,1501.276596
PsychoWhistler,1,8,6,7,1537.603099,653.8675676,654.0113514,1536.997319
PsychoWhistler,1,8,6,8,1575,654.1162162,654.2589189,1569.494757
PsychoWhistler,1,8,6,9,1597.261484,654.3562162,654.5108108,1591.170431
PsychoWhistler,1,8,6,10,1592.5,654.6102703,654.7616216,1592.224719
PsychoWhistler,1,8,6,11,1600.228833,654.8437838,654.9810811,1602.312139
PsychoWhistler,1,8,6,12,1610.24022,655.0643243,655.2102703,1609.989125
PsychoWhistler,1,8,6,13,1601.965163,655.2989189,655.4524324,1602.451994
BrummelTante,0,11,7,1,1987.217215,822.5716651,822.6786922,
BrummelTante,0,11,7,2,2043.907017,822.889503,823.0116651,
BrummelTante,0,11,7,3,2121.806854,823.2019354,823.3608543,
BrummelTante,0,11,7,4,2054.535489,823.5305841,823.6992327,
BrummelTante,0,11,7,5,2122.764228,823.8840976,824.0657192,
PsychoWhistler,1,11,7,1,6269.312647,830.0037838,830.1248649,6268.146067
PsychoWhistler,1,11,7,2,6902.853332,830.3508108,830.7237838,6900.930148
PsychoWhistler,1,11,7,3,7082.517589,830.8989189,831.3108108,7154.566474
PsychoWhistler,1,11,7,4,7163.562154,831.512973,831.8708108,7165.097269
