bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,,,,,,,,,,,
Uilli,1,15,10,4,3021.363483,820.0437838,820.167027,3025.993377,,,,,,,,,,
Uilli,1,15,10,5,3012.912,820.2491892,820.3962162,3013.001234,,,,,,,,,,
Uilli,1,15,10,6,3004.836502,820.4805405,820.6275676,2999.398519,,,,,,,,,,
Uilli,1,15,10,7,3002.782184,820.6967568,820.8567568,2999.57489,,,,,,,,,,
Uilli,1,15,10,8,3010.64311,820.9259459,821.0837838,3015.601207,,,,,,,,,,
Uilli,1,15,10,9,3007.352158,821.1616216,821.3151351,3002.968981,,,,,,,,,,
Uilli,1,15,10,10,2995.495495,821.3778378,821.54,2996.728188,,,,,,,,,,
Uilli,1,15,10,11,2988.211634,821.607027,821.7562162,2989.148936,,,,,,,,,,
Uilli,1,15,10,12,3006.177261,821.8383784,821.9962162,3002.930613,,,,,,,,,,
Uilli,1,15,10,13,2979.338843,822.0654054,822.2232432,2983.924723,,,,,,,,,,
Uilli,1,15,10,14,3000.153453,822.2859459,822.4502703,3000.041396,,,,,,,,,,
Uilli,1,15,10,15,3002.929027,822.5151351,822.6837838,3000.080667,,,,,,,,,,
Uilli,1,15,10,16,3028.80441,822.7443243,822.9064865,3027.558725,,,,,,,,,,
Uilli,1,15,10,17,3001.287554,822.9972973,823.1681081,3003.225806,,,,,,,,,,
Reginald,0,18,11,1,4502.165928,952.6686486,952.8805405,4270.786517,,,,,,,,,,
Reginald,0,18,11,2,4260.281535,953.0016216,953.46,4249.656196,,,,,,,,,,
Reginald,0,18,11,3,4249.882794,953.6459459,954.0437838,4255.417498,,,,,,,,,,
Reginald,0,18,11,4,4255.670646,953.6459459,954.0437838,4255.417498,,,,,,,,,,
Uilli,1,18,11,1,4691.639923,950.2708108,950.8416216,4691.526636,,,,,,,,,,
Uilli,1,18,11,2,4493.349158,950.9648649,951.4772973,4494.105934,,,,,,,,,,
Uilli,1,18,11,3,4425.462176,951.6264865,952.0718919,4427.287074,,,,,,,,,,
Uilli,1,18,11,4,4413.794773,952.2254054,952.6491892,4403.156937,,,,,,,,,,
Reginald,0,19,12,1,5612.576817,1122.679459,1123.116216,5611.811432,,,,,,,,,,
Reginald,0,19,12,2,5306.733991,1123.34973,1123.808108,5403.695276,,,,,,,,,,
Reginald,0,19,12,3,5236.992738,1124.041622,1124.448108,5237.290121,,,,,,,,,,
Uilli,1,19,12,1,3688.291139,1120.047027,1120.54,3687.67766,,,,,,,,,,
Uilli,1,19,12,2,3679.145729,1120.788649,1121.285946,3712.033195,,,,,,,,,,
Uilli,1,19,12,3,3686.502968,1121.471892,1121.9,3685.900424,,,,,,,,,,
Uilli,1,19,12,4,3662.128573,1122.092432,1122.503243,3661.003477,,,,,,,,,,
Reginald,0,21,13,1,2499.509238,1271.134827,1271.601854,2498.771606,,,,,,,,,,
Reginald,0,21,13,2,2557.109986,1271.815908,1272.265638,2556.972875,,,,,,,,,,
Uilli,1,21,13,1,1369.745275,1262.042703,1262.185405,1366.301239,,,,,,,,,,
Uilli,1,21,13,2,1381.367647,1262.421081,1262.572432,1380.808989,,,,,,,,,,
Uilli,1,21,13,3,1441.414977,1262.795135,1262.963784,1440.750202,,,,,,,,,,
Uilli,1,21,13,4,1428.413284,1263.197297,1263.368108,1428.434886,,,,,,,,,,
Uilli,1,21,13,5,1434.039379,1263.61027,1263.768108,1431.777044,,,,,,,,,,
Reginald,0,22,14,1,1995,1342.95753,1343.039692,1934.850993,,,,,,,,,,
Reginald,0,22,14,2,2035.956192,1343.232124,1343.33807,2000.684785,,,,,,,,,,
Reginald,0,22,14,3,2067.959127,1343.491584,1343.621313,2050.087382,,,,,,,,,,
Reginald,0,22,14,4,2084.752047,1343.725097,1343.854827,2065.501573,,,,,,,,,,
Reginald,0,22,14,5,2101.720606,1343.930503,1344.05807,2092.907927,,,,,,,,,,
Reginald,0,22,14,6,2114.658574,1344.142394,1344.2678,2112.909058,,,,,,,,,,
