bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,
Gasolino,1,13,6,1,3671.907525,0.500680272,1.012671958
Gasolino,1,13,6,2,3671.694016,1.281497229,2.012494331
Gasolino,1,13,6,3,3754.885168,2.166574074,2.756984127
Gasolino,1,13,6,4,3819.132923,2.931180398,3.572947846
Gasolino,1,13,6,5,3874.341188,3.730435878,4.364603175
BigMac,0,14,8,1,1789.505597,,
BigMac,0,14,8,2,1796.063961,,
BigMac,0,14,8,3,1816.411026,,
BigMac,0,14,8,4,1824.474143,,
BigMac,0,14,8,5,1888.259669,,
BigMac,0,14,8,6,1926.393141,,
Gasolino,1,14,8,1,1476.651584,,
Gasolino,1,14,8,2,1488.30536,,
Gasolino,1,14,8,3,1517.314095,,
Gasolino,1,14,8,4,1493.824959,,
Gasolino,1,14,8,5,1525.925288,,
Gasolino,1,14,8,6,1523.029578,,
Gasolino,1,14,8,7,1537.505759,,
BigMac,0,16,9,1,1571.965318,,
BigMac,0,16,9,2,1511.588683,,
BigMac,0,16,9,3,1515.388446,,
BigMac,0,16,9,4,1545.094937,,
BigMac,0,16,9,5,1520.689655,,
BigMac,0,16,9,6,1548.572911,,
BigMac,0,16,9,7,1547.871303,,
BigMac,0,16,9,8,1533.349657,,
Gasolino,1,16,9,1,1464.384367,,
Gasolino,1,16,9,2,1447.727273,,
Gasolino,1,16,9,3,1424.359242,,
Gasolino,1,16,9,4,1446.031177,,
Gasolino,1,16,9,5,1503.863595,,
Gasolino,1,16,9,6,1481.395349,,
Gasolino,1,16,9,7,1493.370429,,
Gasolino,1,16,9,8,1529.293667,,
Gasolino,1,16,9,9,1519.060012,,
Gasolino,1,16,9,10,1515.827338,,
BigMac,0,19,10,1,5585.515473,,
BigMac,0,19,10,2,5551.01475,,
BigMac,0,19,10,3,5472.42234,,
BigMac,0,19,10,4,5434.666832,,
BigMac,0,19,10,5,5443.983051,,
Gasolino,1,19,10,1,3606.792263,,
Gasolino,1,19,10,2,3717.462775,,
Gasolino,1,19,10,3,3692.441637,,
Gasolino,1,19,10,4,3785.618729,,
Gasolino,1,19,10,5,3816.097597,,
Gasolino,1,19,10,6,3918.831072,,
Gasolino,1,19,10,7,3887.103768,,
Gasolino,1,19,10,8,3819.43101,,
BigMac,0,23,11,1,3044.790628,,
BigMac,0,23,11,2,2885.80207,,
Gasolino,1,23,11,1,5297.313042,,
Gasolino,1,23,11,2,5323.561112,,
BigMac,0,24,12,1,2386.373513,,
BigMac,0,24,12,2,2314.569536,,
BigMac,0,24,12,3,2364.325936,,
BigMac,0,24,12,4,2398.181049,,
Gasolino,1,24,12,1,1650.856432,,
Gasolino,1,24,12,2,1680.01686,,
Gasolino,1,24,12,3,1700.537027,,
Gasolino,1,24,12,4,1709.915603,,
Gasolino,1,24,12,5,1696.875,,
BigMac,0,26,13,1,5776.765035,,
BigMac,0,26,13,2,5693.37047,,
BigMac,0,26,13,3,5657.772679,,
Gasolino,1,26,13,1,3412.782927,,
Gasolino,1,26,13,2,3489.56422,,
Gasolino,1,26,13,3,3537.400084,,
Gasolino,1,26,13,4,3556.634888,,
Gasolino,1,26,13,5,3494.035631,,
Gasolino,1,26,13,6,3479.795874,,
Gasolino,1,26,13,7,3495.564097,,
Gasolino,1,26,13,8,3475.187744,,
Gasolino,1,26,13,9,3484.414879,,
BigMac,0,28,14,1,1607.418525,,
BigMac,0,28,14,2,1478.920473,,
BigMac,0,28,14,3,1490.390921,,
BigMac,0,28,14,4,1543.162901,,
BigMac,0,28,14,5,4510.131654,,
BigMac,0,28,14,6,1530.75557,,
BigMac,0,28,14,7,1530.985307,,
BigMac,0,28,14,8,1546.086181,,
BigMac,0,28,14,9,1569.652266,,
BigMac,0,28,14,10,1573.638721,,
BigMac,0,28,14,11,1564.228585,,
BigMac,0,28,14,12,1576.872029,,
