bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
PsychoWhistler,0,3,2,8,2366.06788,115.1486486,115.4048649,2365.00885
PsychoWhistler,0,3,2,9,2357.619652,115.5248649,115.8448649,2362.332601
PsychoWhistler,0,3,2,10,2356.191446,115.9464865,116.2264865,2356.95198
PsychoWhistler,0,3,2,11,2354.715347,116.3551351,116.6405405,2354.429173
PsychoWhistler,0,3,2,12,2355.797872,116.7508108,117.0264865,2354.079618
PsychoWhistler,0,3,2,13,2355.510731,117.1313514,117.4167568,2354.429173
BrummelTante,1,9,3,1,2325.272727,,,
BrummelTante,1,9,3,2,2324.581855,,,
BrummelTante,1,9,3,3,2360.728745,,,
BrummelTante,1,9,3,4,2415.656675,,,
PsychoWhistler,0,9,3,1,7080.921935,664.0686486,664.192973,7080.696367
PsychoWhistler,0,9,3,2,7080.921935,664.3691892,664.8048649,7080.696367
PsychoWhistler,0,9,3,3,7411.429332,664.98,665.4113514,7411.433528
PsychoWhistler,0,9,3,4,7302.180411,665.58,665.9691892,7302.039152
PsychoWhistler,0,9,3,5,7283.04198,666.1172973,666.4827027,7282.041576
BrummelTante,1,10,4,1,6267.97597,691.1532868,691.4257192,6269.06367
BrummelTante,1,10,4,2,6234.386205,691.6624759,692.0570705,6234.111022
BrummelTante,1,10,4,3,6094.029851,692.2040976,692.6570705,6114.882114
PsychoWhistler,0,10,4,1,2338.006598,700.0794595,700.1702703,2345.393258
PsychoWhistler,0,10,4,2,2334.215501,700.4318919,700.5281081,2338.006598
PsychoWhistler,0,10,4,3,2332.530639,700.78,700.8783784,2337.6354
PsychoWhistler,0,10,4,4,2338.557624,701.1345946,701.2308108,2338.006598
PsychoWhistler,0,10,4,5,2328.416044,701.4989189,701.6027027,2331.701988
BrummelTante,1,12,5,1,3753.191489,836.3003138,836.4397732,3756.852544
BrummelTante,1,12,5,2,3690.579369,836.569503,836.7219354,3679.919679
BrummelTante,1,12,5,3,3686.916678,836.8581516,837.0030165,3685.92894
BrummelTante,1,12,5,4,3641.750288,837.1370705,837.2754489,3641.881042
PsychoWhistler,0,12,5,1,6903.300733,830.3508108,830.7237838,6900.930148
PsychoWhistler,0,12,5,2,7082.300319,830.8989189,831.3108108,7154.566474
PsychoWhistler,0,12,5,3,7164.342561,831.512973,831.8708108,7165.097269
PsychoWhistler,0,12,5,4,7131.635963,832.0556757,832.4059459,7131.598369
PsychoWhistler,0,12,5,5,7134.803252,832.5854054,832.8913514,7134.832876
PsychoWhistler,0,12,5,6,7156.423857,833.0708108,833.4156757,7156.210139
PsychoWhistler,0,12,5,7,7158.808875,833.6059459,833.9086486,7161.707865
PsychoWhistler,0,12,5,8,7069.549058,834.1389189,834.4394595,7070.507017
PsychoWhistler,0,12,5,9,7082.61924,834.6416216,834.9432432,7081.461434
PsychoWhistler,0,12,5,10,7077.387187,835.1194595,835.42,7077.161612
PsychoWhistler,0,12,5,11,7101.968504,835.5908108,835.8848649,7104.017582
PsychoWhistler,0,12,5,12,7156.992366,836.0610811,836.3421622,7157.889642
PsychoWhistler,0,12,5,13,6969.433066,836.5162162,836.7897297,6968.545846
BrummelTante,1,14,6,1,1510.448336,,,
BrummelTante,1,14,6,2,1524.058485,,,
PsychoWhistler,0,14,6,1,1363.993949,975.8362162,975.9702703,1365.071042
PsychoWhistler,0,14,6,2,1393.948399,976.1713514,976.3075676,1394.640479
PsychoWhistler,0,14,6,3,1443.833439,976.4567568,976.5908108,1447.124493
PsychoWhistler,0,14,6,4,1506.521739,976.7216216,976.8610811,1505.608844
PsychoWhistler,0,14,6,5,1556.20904,976.9637838,977.1010811,1551.32948
PsychoWhistler,0,14,6,6,1583.878241,977.2027027,977.3432432,1579.574056
PsychoWhistler,0,14,6,7,1599.445676,977.4275676,977.5713514,1599.58997
PsychoWhistler,0,14,6,8,1599.775281,977.6589189,977.8048649,1603.138108
PsychoWhistler,0,14,6,9,1610.468655,977.8913514,978.0437838,1607.095047
PsychoWhistler,0,14,6,10,1605.297425,978.1367568,978.2902703,1608.966027
PsychoWhistler,0,14,6,11,1614.363423,978.3756757,978.527027,1612.044944
PsychoWhistler,0,14,6,12,1602.963791,978.6135135,978.7648649,1605.438202
PsychoWhistler,0,14,6,13,1611.031261,978.8513514,979.0037838,1613.654618
PsychoWhistler,0,14,6,14,1623.156064,979.0859459,979.2448649,1623.312883
