bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Ozzy,1,20,7,19,1709.922643,1191.300541,1191.51027,1711.556757
Ozzy,1,20,7,20,1699.072658,1191.663784,1191.886486,1701.679902
Ozzy,1,20,7,21,1677.324841,1192.055135,1192.28,1676.484824
Ozzy,1,20,7,22,1635.532436,1192.455135,1192.632432,1635.631155
Ozzy,1,20,7,23,1513.984252,1192.779459,1192.995676,1516.862416
Chimichanga,0,21,8,1,1276.312301,1241.191847,1241.708603,1277.195138
Chimichanga,0,21,8,2,1397.641485,1241.907522,1242.337792,1396.790514
Chimichanga,0,21,8,3,1427.381179,1242.525901,1243.003738,1433.516822
Chimichanga,0,21,8,4,1453.047776,1243.189684,1243.691306,1453.254679
Chimichanga,0,21,8,5,1454.447803,1243.868603,1244.298874,1464.189723
Chimichanga,0,21,8,6,1474.830853,1244.445901,1244.904279,1474.726688
Chimichanga,0,21,8,7,1513.576285,1245.059955,1245.464279,1513.611127
Chimichanga,0,21,8,8,1451.949166,1245.632928,1246.041576,1451.076462
Ozzy,1,21,8,1,2102.781457,,,
Ozzy,1,21,8,2,2151.219512,,,
Ozzy,1,21,8,3,2315.595611,,,
Ozzy,1,21,8,4,2346.933604,,,
Ozzy,1,21,8,5,2345.550497,,,
Ozzy,1,21,8,6,2312.359551,,,
Ozzy,1,21,8,7,2305.362776,,,
Ozzy,1,21,8,8,2303.965804,,,
Ozzy,1,21,8,9,2315.711297,,,
Ozzy,1,21,8,10,2318.002628,,,
Ozzy,1,21,8,11,2317.755682,,,
Ozzy,1,21,8,12,2341.95336,,,
Chimichanga,0,23,9,1,5470.674378,1325.998333,1326.41563,5470.863446
Chimichanga,0,23,9,2,5431.458826,1326.662117,1327.107522,5435.325561
Chimichanga,0,23,9,3,5130.490305,1327.354009,1327.749684,5132.7851
Chimichanga,0,23,9,4,5057.364012,1327.916171,1328.285901,5057.46351
Ozzy,1,23,9,1,4514.898746,1313.151351,1313.296216,4514.227579
Ozzy,1,23,9,2,4419.761436,1313.438919,1313.633514,4419.249592
Ozzy,1,23,9,3,4473.97527,1313.771892,1314.027027,4475.844294
Ozzy,1,23,9,4,4543.489268,1314.117838,1314.342703,4540.294444
Ozzy,1,23,9,5,4446.982089,1314.457297,1314.673514,4448.846477
Ozzy,1,23,9,6,4342.076916,1314.837838,1315.088649,4341.82262
Ozzy,1,23,9,7,4278.977059,1315.246486,1315.555676,4278.696099
Ozzy,1,23,9,8,4288.693213,1315.722162,1316.022703,4288.886374
Ozzy,1,23,9,9,4187.305367,1316.2,1316.580541,4186.110118
Ozzy,1,23,9,10,4062.978723,1316.740541,1317.082162,4062.843489
Ozzy,1,23,9,11,4078.170324,1317.24,1317.611892,4076.31242
Chimichanga,0,26,10,1,2706.422455,1480.629684,1480.72482,2711.582459
Chimichanga,0,26,10,2,2709.343091,1480.880495,1481.010225,2705.190493
Chimichanga,0,26,10,3,2724.177561,1481.137792,1481.302117,2726.203946
Chimichanga,0,26,10,4,2724.489796,1481.408063,1481.574549,2726.596759
Chimichanga,0,26,10,5,2677.423655,1481.678333,1481.872928,2677.243067
Chimichanga,0,26,10,6,2691.130012,1481.972387,1482.160495,2689.802314
Chimichanga,0,26,10,7,2704.904321,1482.24482,1482.430765,2704.828679
Chimichanga,0,26,10,8,2720.321229,1482.577792,1482.787522,2722.281081
Chimichanga,0,26,10,9,2706.803565,1482.878333,1483.092387,2704.862288
Ozzy,1,26,10,1,5242.042282,1475.017297,1475.425946,5243.940739
Ozzy,1,26,10,2,5224.959807,1475.698378,1476.180541,5224.224041
Ozzy,1,26,10,3,5066.666667,1476.40973,1476.852973,5064.686924
Ozzy,1,26,10,4,4992.4919,1477.20973,1477.659459,5002.773016
Ozzy,1,26,10,5,4906.498366,1477.836757,1478.295135,4906.302251
Ozzy,1,26,10,6,4899.287791,1478.442162,1478.935135,4898.647716
Ozzy,1,26,10,7,4785.789992,1479.038919,1479.525405,4785.122349
Chimichanga,0,27,11,1,6651.236369,1508.947522,1509.23509,6652.207854
Chimichanga,0,27,11,2,6194.149643,1509.388603,1509.762657,6194.210718
Chimichanga,0,27,11,3,6430.949735,1509.922657,1510.268603,6431.310218
Chimichanga,0,27,11,4,6407.155702,1510.432928,1510.739955,6406.55096
Ozzy,1,27,11,1,1442.080925,1511.259459,1511.395676,1446.021971
Ozzy,1,27,11,2,1456.670984,1511.618378,1511.758919,1458.615682
Ozzy,1,27,11,3,1458.712345,1511.983784,1512.15027,1459.389895
Ozzy,1,27,11,4,1439.926839,1512.299459,1512.476757,1443.867502
Ozzy,1,27,11,5,1414.664484,1512.636757,1512.844324,1416.364431
Ozzy,1,27,11,6,1406.348742,1513.006486,1513.242162,1408.620358
Ozzy,1,27,11,7,1412.520799,1513.397838,1513.60973,1411.011236
Ozzy,1,27,11,8,1397.970426,1513.752432,1513.979459,1396.294447
Ozzy,1,27,11,9,1433.966983,1514.124324,1514.394595,1431.890259
Ozzy,1,27,11,10,1428.098503,1514.537297,1514.788108,1435.313263
Ozzy,1,27,11,11,1431.369295,1514.924324,1515.172973,1431.661499
Ozzy,1,27,11,12,1422.457627,1515.339459,1515.596757,1422.455275
Ozzy,1,27,11,13,1453.074979,1515.739459,1515.968649,1452.839335
Ozzy,1,27,11,14,1453.396831,1516.104865,1516.355676,1455.248169
Ozzy,1,27,11,15,1443.77414,1516.515676,1516.768649,1442.726539
Ozzy,1,27,11,16,1450.04637,1516.917838,1517.183784,1451.325774
Ozzy,1,27,11,17,1461.16876,1517.337297,1517.577297,1462.361833
Ozzy,1,27,11,18,1481.801963,1517.717838,1517.953514,1480.748509
Ozzy,1,27,11,19,1481.870279,1518.085405,1518.334054,1483.941273
Ozzy,1,27,11,20,1470.271518,1518.494054,1518.742703,1471.87671
Ozzy,1,27,11,21,1466.457831,1518.883243,1519.123243,1466.528106
Chimichanga,0,29,12,1,2456.14255,1627.418874,1627.557252,2449.598558
Chimichanga,0,29,12,2,2424.951644,1627.717252,1627.888063,2423.655914
Chimichanga,0,29,12,3,2379.092382,1628.054549,1628.259955,2380.494536
Chimichanga,0,29,12,4,2384.960509,1628.448063,1628.657792,2383.783784
Ozzy,1,29,12,1,2349.467241,1613.938378,1614.031351,2344.257498
Ozzy,1,29,12,2,2340.741638,1614.083243,1614.171892,2345.984655
Ozzy,1,29,12,3,2344.48183,1614.232432,1614.301622,2340.825688
Ozzy,1,29,12,4,2316.536965,1614.385946,1614.452973,2312.415426
Ozzy,1,29,12,5,2314.640884,1614.524324,1614.632432,2312.290268
Ozzy,1,29,12,6,2345.088161,1614.677838,1614.76,2348.592715
Ozzy,1,29,12,7,2328.141361,1614.835676,1614.943784,2321.53943
Ozzy,1,29,12,8,2314.127764,1614.991351,1615.095135,2312.431724
Ozzy,1,29,12,9,2331.865828,1615.151351,1615.250811,2332.163209
Ozzy,1,29,12,10,2357.333076,1615.304865,1615.415135,2357.803825
Ozzy,1,29,12,11,2347.935737,1615.475676,1615.579459,2350.972253
Chimichanga,0,30,13,1,2456.582483,1627.418874,1627.557252,2449.598558
Chimichanga,0,30,13,2,2423.742786,1627.717252,1627.888063,2423.655914
Chimichanga,0,30,13,3,2379.092382,1628.054549,1628.259955,2380.494536
Chimichanga,0,30,13,4,2385.880801,1628.448063,1628.657792,2383.783784
Ozzy,1,30,13,1,3052.267303,1628.455135,1628.511351,3040.766129
Ozzy,1,30,13,2,3007.423054,1628.705946,1628.783784,3005.942324
Ozzy,1,30,13,3,3068.922784,1628.96973,1629.051892,3042.218543
Ozzy,1,30,13,4,3007.899849,1629.27027,1629.343784,3006.199877
Ozzy,1,30,13,5,3009.90753,1629.525405,1629.627027,3010.843373
Ozzy,1,30,13,6,2991.330524,1629.802162,1629.901622,2985.571005
Ozzy,1,30,13,7,2996.608696,1630.065946,1630.232432,2996.854147
Ozzy,1,30,13,8,2963.760102,1630.305946,1630.48973,2959.950648
Ozzy,1,30,13,9,2974.902235,1630.556757,1630.725405,2970.435601
Ozzy,1,30,13,10,2916.923077,1630.835676,1631.032432,2917.298606
