bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,,,,,,,,,
Reginald,1,25,9,3,3202.509547,1454.45807,1454.838611,3200.679299,,,,,,,,
Uilli,0,25,9,1,3665.347092,1454.081622,1454.563784,3666.704289,,,,,,,,
Uilli,0,25,9,2,3650.028313,1454.81027,1455.292432,3650.112867,,,,,,,,
Uilli,0,25,9,3,3691.777596,1455.590811,1456.042703,3691.043203,,,,,,,,
Uilli,0,25,9,4,3649.368084,1456.232973,1456.648108,3649.306314,,,,,,,,
Uilli,0,25,9,5,3606.944444,1456.842703,1457.264324,3607.405615,,,,,,,,
Reginald,1,26,10,1,3152.211768,1453.154286,1453.623476,3152.131258,,,,,,,,
Reginald,1,26,10,2,3159.54195,1453.81807,1454.289421,3152.576129,,,,,,,,
Reginald,1,26,10,3,3201.204498,1454.45807,1454.838611,3200.679299,,,,,,,,
Uilli,0,26,10,1,3785.631655,1460.689189,1461.195135,3784.856362,,,,,,,,
Uilli,0,26,10,2,3716.700611,1461.502162,1461.975676,3716.885356,,,,,,,,
Uilli,0,26,10,3,3677.798934,1462.280541,1462.732432,3677.76607,,,,,,,,
Reginald,1,30,11,1,1438.287753,1472.752124,1472.875367,1439.665088,,,,,,,,
Reginald,1,30,11,2,1438.287753,1473.119692,1473.253746,1439.665088,,,,,,,,
Reginald,1,30,11,3,1501.539179,1473.515367,1473.668881,1498.227474,,,,,,,,
Reginald,1,30,11,4,1496.9981,1473.939151,1474.118611,1493.215414,,,,,,,,
Reginald,1,30,11,5,1539.60288,1474.274286,1474.479692,1538.315487,,,,,,,,
Reginald,1,30,11,6,1551.354713,1474.622394,1474.866719,1551.174014,,,,,,,,
Uilli,0,30,11,1,2685.689729,1474.235135,1474.643784,2677.028077,,,,,,,,
Uilli,0,30,11,2,2743.019404,1474.816757,1475.18,2744.550562,,,,,,,,
Uilli,0,30,11,3,2745.372374,1475.415676,1475.742162,2744.190569,,,,,,,,
Uilli,0,30,11,4,2733.618253,1475.94973,1476.263243,2733.523796,,,,,,,,
Uilli,0,30,11,5,2740.919674,1476.451351,1476.786486,2742.077131,,,,,,,,
Reginald,1,31,12,1,2716.981132,1480.0278,1480.148881,2715.488034,,,,,,,,
Reginald,1,31,12,2,2716.981132,1480.332665,1480.501313,2715.488034,,,,,,,,
Reginald,1,31,12,3,2750.898058,1480.650503,1480.836448,2753.225216,,,,,,,,
Reginald,1,31,12,4,2744.832714,1480.953205,1481.167259,2723.548729,,,,,,,,
Reginald,1,31,12,5,2691.759919,1481.275367,1481.472124,2734.332142,,,,,,,,
Reginald,1,31,12,6,2692.959879,1481.584557,1481.7878,2691.064257,,,,,,,,
Reginald,1,31,12,7,2680.942623,1481.900232,1482.1078,2683.384313,,,,,,,,
Reginald,1,31,12,8,2679.152098,1482.205097,1482.412665,2678.566747,,,,,,,,
Reginald,1,31,12,9,2679.624633,1482.53807,1482.730503,2681.230117,,,,,,,,
Uilli,0,31,12,1,2732.170543,1474.235135,1474.643784,2677.028077,,,,,,,,
Uilli,0,31,12,2,2742.311294,1474.816757,1475.18,2744.550562,,,,,,,,
Uilli,0,31,12,3,2746.185446,1475.415676,1475.742162,2744.190569,,,,,,,,
Uilli,0,31,12,4,2734.906542,1475.94973,1476.263243,2733.523796,,,,,,,,
Uilli,0,31,12,5,2739.292475,1476.451351,1476.786486,2742.077131,,,,,,,,
Reginald,1,34,13,1,2715.616438,1480.0278,1480.148881,2715.488034,,,,,,,,
Reginald,1,34,13,2,2715.616438,1480.332665,1480.501313,2715.488034,,,,,,,,
Reginald,1,34,13,3,2752.62049,1480.650503,1480.836448,2753.225216,,,,,,,,
Reginald,1,34,13,4,2744.615218,1480.953205,1481.167259,2723.548729,,,,,,,,
Reginald,1,34,13,5,2736.055306,1481.275367,1481.472124,2734.332142,,,,,,,,
Reginald,1,34,13,6,2692.71028,1481.584557,1481.7878,2691.064257,,,,,,,,
Reginald,1,34,13,7,2683.443396,1481.900232,1482.1078,2683.384313,,,,,,,,
Reginald,1,34,13,8,2676.315789,1482.205097,1482.412665,2678.566747,,,,,,,,
Reginald,1,34,13,9,2681.530276,1482.53807,1482.730503,2681.230117,,,,,,,,
Uilli,0,34,13,1,2821.040462,1480.237297,1480.596216,2822.243983,,,,,,,,
Uilli,0,34,13,2,2800.362694,1480.968108,1481.374595,2799.453339,,,,,,,,
Uilli,0,34,13,3,2807.912434,1481.612432,1481.884865,2807.865169,,,,,,,,
Uilli,0,34,13,4,2816.868694,1482.114054,1482.392973,2817.868466,,,,,,,,
Uilli,0,34,13,5,2797.430206,1482.648108,1482.898919,2794.873881,,,,,,,,
Uilli,0,34,13,6,2789.497889,1483.061081,1483.372432,2790.976622,,,,,,,,
Uilli,0,34,13,7,2781.19708,1483.547568,1483.863243,2781.195231,,,,,,,,
,,,,,,,,,,,Reginald,1,35,14,1,NaN
,,,,,,,,,,,Reginald,1,35,14,2,NaN
,,,,,,,,,,,Uilli,0,35,14,1,NaN
,,,,,,,,,,,Uilli,0,35,14,2,4598.669114
,,,,,,,,,,,Uilli,0,35,14,3,4404.397061
,,,,,,,,,,,Uilli,0,35,14,4,4502.453951
,,,,,,,,,,,Reginald,1,36,15,1,NaN
,,,,,,,,,,,Reginald,1,36,15,2,NaN
,,,,,,,,,,,Uilli,0,36,15,1,NaN
,,,,,,,,,,,Uilli,0,36,15,2,1881.531268
,,,,,,,,,,,Uilli,0,36,15,3,1858.958959
,,,,,,,,,,,Uilli,0,36,15,4,1887.620646
,,,,,,,,,,,Uilli,0,36,15,5,1896.435138
,,,,,,,,,,,Uilli,0,36,15,6,1891.087874
,,,,,,,,,,,Uilli,0,36,15,7,1897.964306
,,,,,,,,,,,Uilli,0,36,15,8,1897.920696
,,,,,,,,,,,Uilli,0,36,15,9,1933.126501
,,,,,,,,,,,Uilli,0,36,15,10,1988.823529
,,,,,,,,,,,Uilli,0,36,15,11,2008.735412
,,,,,,,,,,,Uilli,0,36,15,12,2023.466177
,,,,,,,,,,,Uilli,0,36,15,13,2013.178295
