bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,start,stop
Gasolino,0,15,7,4,1422.580645,3.817358539,3.919984323
Gasolino,0,15,7,5,1448.261955,4.142983207,4.261041439
Gasolino,0,15,7,6,1496.910755,4.466662887,4.585554926
Gasolino,0,15,7,7,1481.689861,4.792018141,4.906076468
Gasolino,0,15,7,8,1497.605634,5.097137818,5.242030108
Gasolino,0,15,7,9,1528.954273,5.423172714,5.54414966
Gasolino,0,15,7,10,1519.990809,5.740582011,5.888590955
Gasolino,0,15,7,11,1514.644618,6.074220836,6.216828546
BigMac,1,17,8,1,1564.160932,0.872685185,0.915509259
BigMac,1,17,8,2,1506.662111,1.149676048,1.216034825
BigMac,1,17,8,3,1511.927398,1.419740839,1.498445435
BigMac,1,17,8,4,1545.906801,1.674373355,1.782399271
BigMac,1,17,8,5,1527.392947,1.972216238,2.080242154
BigMac,1,17,8,6,1545.955815,2.26366969,2.387850844
BigMac,1,17,8,7,1548.122867,2.570394306,2.709915596
BigMac,1,17,8,8,1532.701422,2.893511642,3.037031788
Gasolino,0,17,8,1,3599.948803,6.028756614,6.427360166
Gasolino,0,17,8,2,3717.547691,6.651111741,7.201469514
Gasolino,0,17,8,3,3692.472266,7.491337868,8.178117914
Gasolino,0,17,8,4,3793.647157,8.346792013,8.999983623
Gasolino,0,17,8,5,3831.229562,9.155647518,9.779712144
Gasolino,0,17,8,6,3912.969605,9.929433107,10.52998929
Gasolino,0,17,8,7,3886.289654,10.66455908,11.26639708
Gasolino,0,17,8,8,3819.406576,11.44634921,12.01186823
BigMac,1,20,9,1,5644.852612,0.086349206,0.542512073
BigMac,1,20,9,2,5665.609071,0.783310658,1.219252331
BigMac,1,20,9,3,5571.433498,1.47510582,1.869602545
Gasolino,0,20,9,1,1709.156729,6.136826552,6.1900685
Gasolino,0,20,9,2,1798.755617,6.483285025,6.548872932
Gasolino,0,20,9,3,1764,6.817397539,6.881442219
Gasolino,0,20,9,4,1762.79467,7.16538792,7.231747449
BigMac,1,21,10,1,1981.479452,0.47381416,0.556578798
BigMac,1,21,10,2,1945.980254,0.739773243,0.852303477
BigMac,1,21,10,3,2009.620253,0.968344671,1.08478458
BigMac,1,21,10,4,1999.985783,1.138503401,1.297990048
BigMac,1,21,10,5,2029.389488,1.348376795,1.545951436
BigMac,1,21,10,6,1972.839112,1.575962459,1.71787037
BigMac,1,21,10,7,2025.889869,1.781043084,1.930100151
BigMac,1,21,10,8,2010.322243,1.958205152,2.131296926
BigMac,1,21,10,9,2030.712954,2.206258503,2.364316893
BigMac,1,21,10,10,2015.778486,2.392018141,2.59837648
BigMac,1,21,10,11,2045.044068,2.630385488,2.797611804
BigMac,1,21,10,12,2046.644147,2.874424918,3.02880417
BigMac,1,21,10,13,2065,3.108341522,3.279754976
BigMac,1,21,10,14,2058.562804,3.367596057,3.521566515
BigMac,1,21,10,15,2050.601751,3.601269841,3.767052154
BigMac,1,21,10,16,2048.934189,3.831811224,4.050936949
BigMac,1,21,10,17,2052.816121,4.13170068,4.356751386
BigMac,1,21,10,18,2058.180147,4.38893424,4.610952381
Gasolino,0,21,10,1,5297.119065,11.93109599,12.47024565
Gasolino,0,21,10,2,5323.620224,12.74897077,13.27773369
BigMac,1,22,11,1,1976.235741,0.473088624,0.556578798
BigMac,1,22,11,2,1946.97814,0.74587711,0.851664777
BigMac,1,22,11,3,2005.198827,0.959637188,1.098765432
BigMac,1,22,11,4,2005.41085,1.138503401,1.296061036
BigMac,1,22,11,5,2029.777495,1.373839758,1.552170257
BigMac,1,22,11,6,1971.95122,1.573647644,1.718664966
BigMac,1,22,11,7,2004.843263,1.779407911,1.932029164
BigMac,1,22,11,8,2012.058938,1.958205152,2.133634732
BigMac,1,22,11,9,2033.109807,2.207030108,2.369332326
BigMac,1,22,11,10,2013.485915,2.394332955,2.587528345
BigMac,1,22,11,11,2046.583683,2.630022676,2.797611804
BigMac,1,22,11,12,2046.997389,2.873267511,3.029575775
BigMac,1,22,11,13,2063.542656,3.109884732,3.277054359
BigMac,1,22,11,14,2062.374734,3.369910872,3.519251701
BigMac,1,22,11,15,2054.404287,3.602041446,3.767052154
BigMac,1,22,11,16,2052.826657,3.871186067,4.052865961
BigMac,1,22,11,17,2055.30964,4.13170068,4.344791509
BigMac,1,22,11,18,2057.868926,4.38893424,4.541507937
Gasolino,0,22,11,1,5284.501594,3.924798438,4.458240111
Gasolino,0,22,11,2,5287.97654,4.743746536,5.370071807
